docid,topic,frame,writer,editor
1,Joker,Responsibility,1,4
2,Climate,Human Interest,1,3
3,Tech,Responsibility,4,3
4,Joker,Responsibility,3,2
5,Corona,Human Interest,1,2
6,Corona,Morality,4,2
7,Joker,Morality,2,3
8,Corona,Morality,2,1
9,Tech,Economic Consequences,3,1
10,Tech,Conflict,3,1
11,Ukraine,Economic Consequences,4,1
12,Corona,Morality,1,4
13,Ukraine,Morality,3,1
14,Corona,Economic Consequences,2,1
15,Ukraine,Human Interest,4,2
16,Climate,Morality,2,4
17,Joker,Morality,4,1
18,Ukraine,Economic Consequences,1,4
19,Ukraine,Morality,2,1
20,Corona,Human Interest,1,4
21,Tech,Responsibility,4,1
22,Ukraine,Conflict,3,1
23,Climate,Human Interest,1,4
24,Tech,Economic Consequences,4,2
25,Corona,Economic Consequences,2,4
26,Joker,Morality,3,1
27,Ukraine,Economic Consequences,2,3
28,Joker,Human Interest,2,3
29,Tech,Economic Consequences,2,4
30,Corona,Morality,3,2
31,Joker,Human Interest,1,2
32,Tech,Human Interest,1,2
33,Tech,Conflict,4,2
34,Corona,Morality,1,3
35,Ukraine,Conflict,4,2
36,Climate,Conflict,1,2
37,Corona,Conflict,2,1
38,Tech,Morality,3,2
39,Corona,Conflict,3,4
40,Ukraine,Conflict,2,4
41,Ukraine,Responsibility,3,4
42,Joker,Morality,3,4
43,Ukraine,Economic Consequences,3,4
44,Joker,Morality,1,2
45,Joker,Economic Consequences,4,1
46,Climate,Conflict,2,1
47,Ukraine,Conflict,4,2
48,Climate,Responsibility,4,2
49,Climate,Conflict,1,3
50,Tech,Conflict,2,3
51,Tech,Economic Consequences,4,1
52,Joker,Economic Consequences,2,4
53,Climate,Human Interest,3,1
54,Joker,Morality,2,1
55,Climate,Human Interest,3,1
56,Tech,Morality,2,3
57,Joker,Human Interest,4,3
58,Climate,Conflict,1,4
59,Ukraine,Responsibility,4,1
60,Joker,Economic Consequences,1,4
61,Tech,Responsibility,2,3
62,Joker,Economic Consequences,3,4
63,Corona,Responsibility,4,1
64,Joker,Human Interest,1,3
65,Tech,Morality,2,3
66,Tech,Economic Consequences,3,4
67,Tech,Conflict,1,4
68,Joker,Human Interest,1,3
69,Climate,Responsibility,1,2
70,Corona,Conflict,1,3
71,Corona,Conflict,4,1
72,Ukraine,Conflict,3,1
73,Corona,Human Interest,2,4
74,Ukraine,Responsibility,2,4
75,Tech,Human Interest,3,1
76,Corona,Economic Consequences,2,1
77,Ukraine,Human Interest,4,2
78,Climate,Human Interest,3,4
79,Joker,Conflict,4,1
80,Tech,Economic Consequences,2,3
81,Ukraine,Responsibility,2,4
82,Corona,Conflict,3,4
83,Corona,Responsibility,3,4
84,Climate,Human Interest,3,2
85,Joker,Economic Consequences,3,2
86,Ukraine,Economic Consequences,3,2
87,Climate,Responsibility,4,3
88,Tech,Responsibility,1,3
89,Ukraine,Economic Consequences,1,2
90,Climate,Conflict,3,2
91,Climate,Responsibility,4,2
92,Climate,Conflict,2,3
93,Ukraine,Responsibility,4,3
94,Tech,Economic Consequences,2,3
95,Corona,Human Interest,4,3
96,Corona,Responsibility,1,2
97,Climate,Economic Consequences,4,2
98,Joker,Responsibility,1,3
99,Climate,Human Interest,4,3
100,Climate,Morality,1,3
